Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
rafahell06,3,Kirby,1,DtJ_Adagio,12,Bowser,3,rafahell06,3,1
collectordoggo,31,Isabelle,2,NormalWaddleDee,16,Min Min,4,collectordoggo,3,1
feffer,9,Ken,1,NoWyre,20,Sephiroth,7,NoWyre,3,1
Gwehyr,8,Joker,6,Khan_Cena,23,Zelda,6,Khan_Cena,3,1
sunflowersmith,14,Hero,7,7he1nquisition,29,Ridley,3,sunflowersmith,3,1
hehedreams,27,Sora,5,frostbitlillies,19,Corrin,2,hehedreams,3,1
enbypixel64,22,Yoshi,3,Lightsonus,2,Robin,5,Lightsonus,3,1
ebgam3r7,6,Lucas,5,goonguy37,15,Ganondorf,4,goonguy37,3,2
1nfernalfire,28,Joker,7,scarlethaven346,4,Byleth,6,scarlethaven346,3,2
ASingleRaindrop,18,Inkling,8,ChefBoi0Meme,13,King Dedede,1,ChefBoi0Meme,3,2
User_name_Pending,10,Pythra,7,kael333_,32,Kazuya,5,kael333_,3,2
jeshsomething,17,Sonic,5,rafahell06,3,Kirby,1,jeshsomething,3,2
collectordoggo,31,Isabelle,2,NoWyre,20,Sephiroth,7,collectordoggo,3,2
Khan_Cena,23,Zelda,6,sunflowersmith,14,Hero,7,sunflowersmith,3,2
hehedreams,27,Sora,5,Lightsonus,2,Robin,5,hehedreams,3,2
goonguy37,15,Ganondorf,4,scarlethaven346,4,Byleth,6,scarlethaven346,3,3
ChefBoi0Meme,13,King Dedede,1,kael333_,32,Kazuya,5,kael333_,3,3
jeshsomething,17,Sonic,5,collectordoggo,31,Isabelle,2,jeshsomething,3,3
sunflowersmith,14,Hero,7,hehedreams,27,Sora,5,sunflowersmith,3,3
scarlethaven354,4,Byleth,6,kael333_,32,Kazuya,5,kael333_,3,4
jeshsomething,17,Sonic,5,sunflowersmith,14,Hero,7,sunflowersmith,3,4
kael333_,32,Kazuya,5,sunflowersmith,14,Hero,7,sunflowersmith,3,5
technetiumetal,12,Pit,15,jujupuff,12,Jigglypuff,6,technetiumetal,4,1
kael333_,27,Incineroar,8,ebgam3r7,31,Marth,2,kael333_,4,1
Khan_Cena,4,Zelda,4,User_name_Pending,26,Shulk,8,Khan_Cena,4,1
goonguy37,9,Ganondorf,1,will_pet_ur_dog,24,Piranha Plant,7,goonguy37,4,1
anzennaowl,18,Sephiroth,8,ASingleRaindrop,20,Shulk,8,ASingleRaindrop,4,1
scarlethaven354,14,Byleth,4,SashaDeminova,21,Palutena,6,scarlethaven346,4,1
Azulparrot,3,Sora,6,the1trueant,1,Sephiroth,7,the1trueant,4,1
7he1nquisition,19,Ridley,3,mossybanana,22,Duck Hunt,8,7he1nquisition,4,1
just_like_home,17,Snake,3,Solar_Sympony,30,Zelda,2,Solar_Symphony,4,1
manashortage,13,Ness,2,jekkk,7,Inkling,5,manashortage,4,1
Gwehyr,2,Joker,6,GaryTheCrobat,16,Greninja,3,GaryTheCrobat,4,1
fightingjoey,23,Hero,2,StuffWithConnor,28,Pichu,7,StuffWithConnor,4,1
FyrusYT,32,Joker,5,collectordoggo,29,Isabelle,3,collectordoggo,4,1
